iter	Passed	Remaining
569	922	695
570	923	694
571	925	692
572	927	690
573	928	688
574	929	686
575	930	684
576	931	682
577	932	680
578	933	678
579	935	677
580	936	675
581	937	673
582	939	671
583	940	670
584	942	668
585	943	666
586	944	664
587	945	662
588	947	660
589	948	658
590	948	656
591	949	654
592	951	652
593	952	650
594	953	649
595	955	647
596	956	645
597	958	644
598	959	642
599	960	640
600	962	638
601	963	636
602	964	635
603	965	633
604	966	631
605	967	629
606	968	627
607	970	625
608	971	623
609	972	622
610	973	619
611	974	617
612	975	616
613	976	614
614	977	612
615	979	610
616	980	608
617	981	606
618	982	604
619	983	602
620	985	601
621	987	599
622	988	598
623	989	596
624	990	594
625	991	592
626	992	590
627	993	588
628	995	587
629	997	585
630	998	583
631	999	581
632	1001	580
633	1003	579
634	1004	577
635	1005	575
636	1006	573
637	1007	571
638	1008	569
639	1009	568
640	1010	566
641	1011	564
642	1012	562
643	1013	560
644	1015	558
645	1017	557
646	1018	555
647	1020	554
648	1021	552
649	1023	550
650	1023	548
651	1024	547
652	1026	545
653	1027	543
654	1028	541
655	1029	539
656	1030	538
657	1032	536
658	1034	535
659	1035	533
660	1036	531
661	1038	530
662	1039	528
663	1041	527
664	1042	525
665	1043	523
666	1045	521
667	1047	520
668	1049	519
669	1050	517
670	1051	515
671	1052	513
672	1054	512
673	1055	510
674	1057	509
675	1059	507
676	1060	506
677	1062	504
678	1064	503
679	1065	501
680	1067	500
681	1069	498
682	1071	497
683	1072	495
684	1074	493
685	1076	492
686	1078	491
687	1079	489
688	1080	487
689	1082	486
690	1083	484
691	1084	482
692	1085	481
693	1087	479
694	1088	477
695	1089	476
696	1093	475
697	1095	473
698	1096	472
699	1097	470
700	1098	468
701	1100	467
702	1101	465
703	1102	463
704	1103	461
705	1104	459
706	1105	458
707	1107	456
708	1108	455
709	1110	453
710	1111	451
711	1111	449
712	1113	448
713	1114	446
714	1116	444
715	1118	443
716	1119	442
717	1122	440
718	1124	439
719	1125	437
720	1127	436
721	1128	434
722	1130	433
723	1132	431
724	1134	430
725	1135	428
726	1136	426
727	1138	425
728	1140	423
729	1141	422
730	1142	420
731	1144	419
732	1146	417
733	1147	415
734	1149	414
735	1150	412
736	1151	410
737	1153	409
738	1154	407
739	1156	406
740	1157	404
741	1158	402
742	1159	401
743	1161	399
744	1163	398
745	1164	396
746	1165	394
747	1166	393
748	1168	391
749	1170	390
750	1171	388
751	1173	386
752	1174	385
753	1175	383
754	1177	381
755	1178	380
756	1179	378
757	1181	377
758	1183	375
759	1184	374
760	1185	372
761	1187	370
762	1188	369
763	1190	367
764	1191	366
765	1193	364
766	1194	362
767	1195	361
768	1196	359
769	1198	358
770	1200	356
771	1202	355
772	1204	353
773	1205	352
774	1207	350
775	1209	349
776	1210	347
777	1211	345
778	1212	344
779	1214	342
780	1215	340
781	1217	339
782	1218	337
783	1219	336
784	1221	334
785	1222	332
786	1223	331
787	1225	329
788	1226	327
789	1227	326
790	1228	324
791	1230	323
792	1231	321
793	1233	320
794	1234	318
795	1235	316
796	1236	315
797	1238	313
798	1239	311
799	1240	310
800	1241	308
801	1242	306
802	1243	305
803	1245	303
804	1247	302
805	1248	300
806	1249	298
807	1250	297
808	1252	295
809	1253	294
810	1254	292
811	1255	290
812	1256	289
813	1257	287
814	1258	285
815	1260	284
816	1261	282
817	1262	280
818	1264	279
819	1265	277
820	1266	276
821	1268	274
822	1269	273
823	1270	271
824	1271	269
825	1272	268
826	1273	266
827	1276	265
828	1277	263
829	1278	261
830	1279	260
831	1281	258
832	1282	257
833	1283	255
834	1284	253
835	1285	252
836	1286	250
837	1287	248
838	1288	247
839	1290	245
840	1291	244
841	1292	242
842	1294	241
843	1295	239
844	1296	237
845	1297	236
846	1298	234
847	1299	232
848	1300	231
849	1301	229
850	1302	228
851	1303	226
852	1305	225
853	1307	223
854	1308	221
855	1309	220
856	1311	218
857	1312	217
858	1313	215
859	1314	214
860	1315	212
861	1316	210
862	1317	209
863	1318	207
864	1320	206
865	1321	204
866	1323	202
867	1324	201
868	1325	199
869	1327	198
870	1328	196
871	1329	195
872	1330	193
873	1331	191
874	1332	190
875	1333	188
876	1334	187
877	1336	185
878	1338	184
879	1339	182
880	1341	181
881	1342	179
882	1343	178
883	1344	176
884	1346	174
885	1347	173
886	1348	171
887	1349	170
888	1351	168
889	1353	167
890	1354	165
891	1355	164
892	1357	162
893	1358	161
894	1359	159
895	1361	157
896	1362	156
897	1363	154
898	1364	153
899	1365	151
900	1366	150
901	1369	148
902	1370	147
903	1371	145
904	1372	144
905	1374	142
906	1375	141
907	1377	139
908	1378	137
909	1379	136
910	1380	134
911	1382	133
912	1383	131
913	1385	130
914	1386	128
915	1387	127
916	1389	125
917	1390	124
918	1391	122
919	1392	121
920	1393	119
921	1394	118
922	1396	116
923	1397	114
924	1398	113
925	1400	111
926	1401	110
927	1402	108
928	1403	107
929	1405	105
930	1406	104
931	1407	102
932	1408	101
933	1409	99
934	1410	98
935	1411	96
936	1412	94
937	1414	93
938	1415	91
939	1417	90
940	1418	88
941	1420	87
942	1421	85
943	1422	84
944	1423	82
945	1424	81
946	1425	79
947	1426	78
948	1427	76
949	1429	75
950	1430	73
951	1432	72
952	1433	70
953	1434	69
954	1435	67
955	1436	66
956	1438	64
957	1439	63
958	1440	61
959	1441	60
960	1442	58
961	1443	57
962	1445	55
963	1446	54
964	1447	52
965	1449	51
966	1450	49
967	1451	47
968	1452	46
969	1454	44
970	1455	43
971	1456	41
972	1457	40
973	1458	38
974	1459	37
975	1460	35
976	1462	34
977	1463	32
978	1464	31
979	1465	29
980	1466	28
981	1467	26
982	1469	25
983	1470	23
984	1472	22
985	1473	20
986	1474	19
987	1476	17
988	1477	16
989	1478	14
990	1479	13
991	1480	11
992	1482	10
993	1483	8
994	1484	7
995	1485	5
996	1487	4
997	1488	2
998	1489	1
999	1491	0
